USER,STAR,DATE,LIKE,REVIEW
조시원, 5,2021-05-15,26,현재 서비스접속이 원활하지 않습니다. 메시지 계속 띄우고 사용 불가. 지우고 재설치해도 똑같습니다. 안드로이드 8.0 갤럭시 S7입니다.
hyereen lee, 1,2021-06-02,9,아니 ux이따구로 만들면 ㅋㅋ 내정보쪽에서 개인정보 수집 어쩌구 버튼이 있어서 동의로 잘못클릭했는데 그 버튼이 활성화됨과 동시에 사라짐 내가 뭘눌렀지도 모르는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ취소는 어디가서 하라고? 이거 어디서 만들었나요 진짜 대박ㅋㅋ 기획 이따구로 할건가요진짜
Googol, 1,2021-05-21,19,앱 수준이 외주로 맡긴 거 같아요 자동 로그인으로 해 놨는데 어플 켜 놓고 시간 지나서 들어가니까 로그아웃 되네요 ㅋ 또 앱은 지나치다 싶을 정도로 느리고 뒤로가기가 안될 때도 있어요 괜히 하이브리드 앱으로 욕심 부리지 말고 네이티브로 개발해서 최적화 잘 하길 바랍니다~
유준현, 4,2021-05-21,8,T월드 앱에서 아이디 또는 비밀번호 찾기 할때 앱이 강제 종료가 됩니다.. 또 로그인 후 비밀번호 변경시에도 앱이 종료가 되네요..확인 부탁드립니다ㅠㅠ
정민주, 1,2021-04-23,45,"업데이트 했는데도 ""현재 서비스 접속이 원할하지 않다""며 아예 열리지가 않네요........ 와이파이든 LTE든요.. 캐시삭제도 해보고 앱완전삭제 후 재설치도 두번이나 해봤어요"
Jun lee, 1,2021-04-19,22,갤럭시 노트20 사용중인데 위젯 자동 업데이트 수개월 이전부터 안됩니다. 안된다는 댓글도 넘치는데 딱히 대응은 없네요 통사사를 옮길때인건지 VIP 혜택도 줄고 참..
빨간사자, 3,2021-04-23,28,남은 데이터를 확인하면 데이터가 줄지 않아요 앱이 제대로 작동하고 있는 거 같지 않습니다. 이런 경우에는 어떻게 해야 하나요?
마음마음, 1,2021-05-10,1,이거참너무하내업데이트돠고나서안들어가져서지금35번정도지우고깔고했는데데쟈뷰인가?이젠SKT못쓰겠다증말..빨리다른곳으로옮겨야지..
참교육의신, 5,2021-04-17,8,로그인을 한채로 사용중 갑자기 팅기면서 알수없는오류라고 뜰때가 넘 많네요ㅜㅠ
조아라, 5,2021-05-22,0,감사했어요. 요금할인 끝나면 생각해볼게요 안그래도 폰이 너무오래됨🤔
재민이형팬, 1,2021-05-17,1,솔직히 별 1개도 주기 싫은데 제발 로그인 좀 쉽게 좀 해주세요
권세인, 1,2021-05-07,0,로긴 자체가 안됌 로그인 하기 누르면 깜빡 거리기만함
허허동천, 1,2021-05-18,1,무료라고 들어가보니 필요한건 다 얼마씩 내라고 함
김명평, 4,2021-05-17,1,데이터 사용량 과 요금 을 확인 하기좋습니다
김병길, 4,2021-05-16,0,실시간 사용내역 하나하나 사용처와 금액을 정확히 좀 알려주시면 좋겠어요~~~
Yejin, 1,2021-03-30,25,사용자 인터페이스가 전혀 고려되지 않은듯 너무 불편합니다. 어디에 뭐가 있는지 사용자가 원하는 정보를 바로바로 찾을 수 없고 다 숨겨져있고 정확한 명칭을 모르면 더욱더 찾기 힘듭니다. 모바일 화면으로 보는데 이렇게 사용하기 힘들수있나 싶을 정도로 적응이 안되어서 답답하고 사용하는데 어려움이 많습니다.
윤종필, 1,2021-04-07,0,"레인보우 포인트는 없어젆나요, 8년전에 환불 받으러오라고해서 같는데위치를 몰라받지 못했는데 지금이라도 환불 가는한가요"
박선화, 1,2021-06-09,0,왜 업데이트 이후로 연결이 안됨? 영업안함? Skt 쳐망했냐?
사과, 5,2021-05-25,0,여러분 이 앱 업데이트 안하면 크롬이랑 안드로이드 시스템 업데이트 안되니 꼭 해주세요 ~~
storryyy _, 1,2021-04-29,0,인증번호 발송이 왜 안되나요 2021년에 있을 수 있는 일인가요
이건뭐냐, 1,2021-01-23,5,선택약정할인제도 연장하려고 들어갔더니 멀쩡하게 있던 가입 버튼은 어디로 간거죠? 이제 전화로만 되도록 바꿔서 가입률 떨어뜨리려는 의도맞죠?
최하늘, 1,2021-03-05,0,거지같은 sk! 앱 난잡하고 불편한 건 여전하고.... sk예전에도 짜증나 옮겼는데.... 3사 다 써봐도 엘지가 제일 좋은데!원하는 기기가 sk에만 재고가 있어 하는 수 없이 통신사 바꿧더니...변한게 없네!약정돼 있어 울며 겨자먹기로 2년은 기다려야 한다.
조비, 1,2020-12-31,0,생년월일 없이 간단하게 앱이 뜨는게 가장편하고좋음ㆍ제발 불필요한 절차없이 앱좀 열게해주세요(번거로움딱질색)
동동킹갓, 1,2021-03-01,1,콘텐츠 이용요금 한도 늘릴려고하니까 invalid request url 이라는 메세지만 뜨면서 변경이 안되네요
최윤정, 1,2021-01-01,0,가족 폰에서 가족본인 휴먼해제 하려니 ICAS3178 시스템사정 사용할 수 없다네요.휴먼해제 하고 싶습니다.개선해주세요
김도니, 1,2020-12-23,2,공인인증서 폐지 말 나온지가 언젠데 선결제 계좌이체 하려하면 본인인증+공인인증 아직도 뜨노 빙시들아 일좀해라 일좀 세상이 변하는데 너그만 후지구나
남경훈, 2,2021-05-06,0,왜자꾸 티로밍 화면으로 넘어갑니까?
고신점이, 1,2021-01-15,0,아니 미접으로 탈퇴된다고 로그인 하려 했는데 인증번호가 10분 후에 와버리면 뭐하자는 겁니까?
임덕춘, 4,2021-05-05,0,"저는 SKT대리점에서 S10기종으로 월75,000원 요금제로 2019.5.20일 2년간 의무사용 조긘으로 약정하여, 오는 5.20일이 2년간 의무사용 약정기간이 끝나는데, 대리점에서 핸드폰 요금제 변경도 거부하고, 핸드폰을 반납하더라도 처음 단말기 구입단가 150만원을 적용한 50%금을 더 내라는 횡포를 격고, 참다못해 통신사 변경을 하는 한이 있더라도 기존 대리점과는 더이상 고객으로 관계유지하기가 힘들어 부득불 변경을 하고 싶은데 좋은 방법이 있겠습니까?"
노래하고싶다, 1,2021-04-16,0,진짜 욕 안할수가 없다 무슨 오류가 이렇게 많아
