USER,STAR,DATE,LIKE,REVIEW
샤인온미, 1,2021-05-16,39,"이사 때문에 간단한 인터넷, TV 설치주소변경 신청하는데, 유플러스 휴대폰 번호가 아니면 1. 우선 간편로그인 안되고 ID만들어야 하며 2. 그것도 앱 안에서 되는게 아니라 별도 홈페이지에서 만든 다음 다시 앱으로 와야 하며 3. 그 다음 앱에서 신청을 하려고 하니 이번엔 본인인증을 휴대폰인증, 패스인증, 아이핀인증 중에 고르란다. 4. 근데 거기서 휴대폰인증, 패스인증은 또 유플러스 번호가 아니면 안된다. 패스앱이 설치되어 있어도 소용없다. 유플러스 인터넷이랑 TV만 쓰고 휴대폰 안쓰면 주소지 이전 한번 하려고 없는 아이디 만드는 것도 모자라 없는 아이핀도 만들어야 하나? 일부러 불편하게 하고 싶은걸까? 5. 전단계로 돌아갔더니 썼던 내용이 다 사라져있다. 할 말이 없다. 고객센터가 싫어서 인터넷, TV 해지 생각하게 만들 정도다. (추가) 유플보다 더 쓰레기같은 아이핀앱 수십번 실패 끝에 인증 성공했다. 주소이전이란게 이렇게 복잡한 과정 거칠 만큼 위대한 일이란걸 깨달았다."
찌야, 1,2021-06-12,0,미납요금때문에 요금조회 하려고 들어갔더니 오전부터 밤늦게까지 오늘 하루종일 이용자 접속이 많다고만 뜨고 튕기는데 이 앱은 요금조회가 무슨 시간당 선착순인가요? 7년째 TV인터넷도 다 유플쓰지만 이럴때마다 정말 속이 뒤집어질 것 같네요...^^ㅎㅎ
서호연, 1,2021-05-30,13,유심 인식번호가 확인이 안된다며 정상가입 유심인지 확인하라는데 2달 전까지 잘 되다가 갑자기 이럽니다. 요금 얼마나왔는지 확인도 못하고...휴대폰을 재부팅해도 앱을 다시 깔아도 이러니 원. 휴대폰 소프트웨어 업데이트도 꼬박꼬박 하는데 왜 이래요?
김한준, 2,2021-04-17,80,"앱 개발자 교체했으면 하네요. 솔직히. 구동에만 10초 걸리는 앱이 요즘 어디에 있나요? 메뉴는 복잡하기만 하고 쓸데없는 광고만 가득하고, 각 메뉴반응속도는 암세포고요. 적용되는데 3초 이상 걸리고 도대체 매번 업뎃할 때마다 무슨 업뎃을 합니까? 경량업뎃이나 좀 하세요. 왠만해서 이런 얘기 안하는데 이 앱은 진저리가 납니다."
파란하늘, 1,2021-05-17,5,"며칠전에 자동 로그아웃 되더니 그때부터 휴대폰 번호 로그인이 안 되네요 그래서 아이디, 비번 로그인 했는데 소액결제 액수 상향 조정하려고 하니까 유심을 인식 못한다고 안 되네요 유심 인식이 안 되면 전화, 메시지도 안 되야 하는데 잘만 되고요, 다른 앱들은 전부 잘 작동하고 유플러스 고객센터 앱만 속섞이네요, 진짜 통신사 바꾸고 싶네요 좀 제대로 해주세요😡"
크리스와마스, 1,2021-06-02,2,"고객님의 유심 인식번호가 확인되지 않습니다 완전 짜증나네 유플 대리점, 고객센터 다 방문하고 통화도 해봤는데 해결안됨 최신 업데이트 되면서 이렇게 된 것 같은데 완전 짜증나네 유심도 3800아니고 최신 유심인데 통신사 갈아타야하나 한시간만에 해결됐음 생년월일로 로그인 X 아이디로 가입후 로그인 O"
HJ Park, 1,2021-05-21,7,간편로그인에서 생년월일 쳐서 로그인버튼 눌렀는데 계속 usim이 없다고 뜨면서 로그인이 안되네요..제 usim은 한번도 뺀적이 없는데.. 빨리 해결해주세요. 빠른 답변 기다라고 있습니다.(기종:A10e)
kian L., 1,2021-05-23,2,접속할라고 하면 매번 느려. 5분을 기다려도 접속이 안되냐. 이러니 엘지폰이 느려터진거야. 깔린 앱들이 전부 이럴꺼니까..
안규현, 1,2021-05-14,13,이 앱 완전 쓰래기네요 ㅉㅉ 참고로 제폰은 삼성갤럭시로 쓰고있는데 lg알뜰폰으로 신청했습니다.. 생년월일로 간편로그인으로 했는데 lg로 개통된 폰만 이용할수 있다?? 알뜰폰은 쓰지마라는 건가요?? 아니면 삼성갤럭시라는 이유로 쓰지말라는건가요??? 빠른답변 부탁드립니다
R ay, 3,2021-04-22,19,대체 데이터가 왜 이리 느린가요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대이터로 앱들어가는 것만 해도 한세월이고 밖에서 쓰는것도 느려터졌고 갑자기 어느순간부터 데이터가 확 느려졌습니다 동영상 보는데 1~2초마다 끊기고요 사진 로딩되는 속도도 느리고ㅋㅋㅋㅋㅋ 왜이러나요 대체;
sunset, 3,2021-04-21,27,너무버벅됨!물론휴대폰성능과 기지국의전파영향도 받겠지만... 그래도 페이지간 이동도 느리고~ 앱 클릭시 오픈도 느리고~ 다~느려~ 엘지...휴대폰도 접었는데 설마 기지국도 포기하는건 아니지요? 엘지기지국 10년 이상 썼는데...
리정, 1,2021-04-27,3,기본데이터다쓰고 무료로나오는 데이터는 무슨 아예삭제를해라 폰이 먹통이네 느려도 된다니까써보는데 유플러스만 거의5~6년을쓰고있는데 신뢰도 제로로 확떨어지네 그게데이터가되는거냐? 10초이용하고 끊기는 데이터가 무제한으로 이용가능하십니다로 바꺼라 다른통신사로갈아타야지 그지같아서
조빙구, 1,2021-06-01,1,이 개같은 앱은 왜 열리질 않나요 무선네트워크에 연걸이 안되어있다고 하네요 무슨소리인지..재설치해도 안들어가집니다...
rewq asf, 1,2021-05-08,20,여러분 LG 쓰지맙시다. 앱이 속터지게 느린이유는 휴대폰 사업도 접고 제대로 관리도 안하며 개발자도 저렴하게 비전공자 뽑아서 속성교육해서 쓰기때문에 몇년동안 최적화는 커녕 캐시를 지우라는 답변밖에 못하는거죠. 대기업 문화나 시스템이 변하기는 어렵기 때문에 사용자인 우리가 옮겨야합니다. 이걸로 매번 고생하는 시간에 통신사 한번 옮기면 해결됩니다.
최성영, 1,2021-05-24,0,저기요 위젯 실시간 데이터 잔여량 아무도 안됩니다 로그인 반복하고 고쳐주세요 예전에 아무도 잘 하고 있으면서 새로운 업데이트를 해주세요
배유진, 1,2021-04-23,3,렉이 심하네요. 솔직히 LG는 휴대폰은 참 그렇네요 휴대폰 마음에 드는 점이 없어. 렉 심하지 로딩 오래 걸리지 다 느려 그냥 휴대폰 안 만드는 거 참 옳은 선택이었다. 더 만둘어봤자 거기서 거기지
김수진, 3,2021-06-01,1,유심 인식이 안된다고 뜨고 간편로그인도 안되고 아이디로그이도 안되네요 일주일전까지도 사용했는데 오늘 갤럭시 업데이트후부터 안되고 있습니다
이주환, 1,2021-05-01,0,LTE88 요금제 데이터 나눠쓰기 40G 데이터 나눠쓰기 제한을 좀 풀어 주셨으면 합니다 40G나눠 쓰기를 요금제에 포함 시켜 놓고는 한번에 최대 전송량을 1G 밖에 못 하니까 엄청 불편해요 한번에 전송 할 수 있는 최대 데이터량을 5G 단위로 올려 주시던가 데이터량을 설정 해서 보낼 수 있게 업데이트 해 주셨으면 합니다 너무 불편해요~ 상담사분들에게 요청을 몇번 했는지 몰라요 제발 신경 좀 써주시길 바랍니다
이녜, 1,2021-05-06,1,서비스 이용 원할하지 않습니다라는건 언제까지 뜨는건지.....하루종일 해도 안되고 하라는 대로 캐시도 지워보고 햇는데도 며칠째 들어가지지도 않고 홈페이지 이용해도 안되고 어쩌라는건지
박박창현, 1,2021-06-08,0,진짜 리뷰잘안쓰는데 정말 너무하네요 소액결제 그렇게 다풀려있는데 그걸 얼마나 파악을 못하면계속 걸려있을까 일좀 제발
자스민, 1,2021-04-26,2,하 진짜 짜증나죽겠네 두달전부터 틈틈히 확인좀 해보려고 어플 6-7번은 눌렀던거같은데 매번 시작페이지에서 이동중 여기서 멈춰서 넘어가지가 않아서 확인이 불가능함 ㅡㅡ 어떻게 요금제 확인하라는건지 기본 어플이라서 삭제도 안되고 정말 화나네요
AAKK BBEE, 1,2021-05-28,1,"최악중에 최악. 카드결제장보 바꾸는데 아이핀이 아니면 할수가없고, 홈페이지는 되도않는 크롬 NPAPI 켜라고 그럼. 아 그냥 KT로 가야되나 고민중."
넬름, 1,2021-05-27,0,유심인식이 안된다 그래서 확인결과 멀쩡한데 계속 접속 시도하니까 사용인원이 많아서 사용불가 뜨네요 사람을 가지고 놉니까
조기형, 1,2021-06-01,0,왜이리 로그인 자체가 안되고 계속 팅기는건지 모르겠네요. ㅠㅠ
송준혁, 1,2021-06-04,0,유플러스 가입상품정보가 존제하지 않는다고 뜸니다. 해결방법좀 알려주세요
김영주, 5,2021-05-14,1,통신사가 이동된후로 좋아요 이제밑고사용할수 이습니다 숙대점으로 된건가요
이세현, 1,2021-04-20,2,"개발자가 치매환자인가???왜 자세히 보기 터치만 하면 다 다시로그인하라고 해요?? 바쁜 사람은 보지도 못하겟어요,"
정진영, 5,2021-05-02,1,폰이나tv요금냈는데 청구서에계속같은금액이남아있네요. 개선좀하셔야겠어요.
Sky Kim, 1,2021-05-31,1,왜 갑자기 안되요 지금까지 매달 결제도 잘되는데 오늘 생년월일 로그 자체가 아예 안돼요
양지홍, 1,2021-04-17,17,최신 스마트폰을 샀다. 그런데도 느리다. 요즘 은행앱도 이렇게 느리지 않다. 최적화 언제 할건지..
김상덕, 1,2021-05-16,2,두번다시 엘지 안쓴다.... 직장에서 안터져 집에서 안터져... 등산가면 안터져... 엘지만 전화 데이터 너무 불편함.... 케이티랑 투폰쓰는데 케이티만 데이터 터짐.... 심지어 엘지는 5g이고 케이티는 4g인데4지보다 느린 파이브지..... 안터져서 터지게 해달랬더니... 남의건물이라 동의 받아야하는데 나보고 달아도되는지 동의 받아달래..... 이딴 서비스가 다있나....... 그리고 즉시납부 할라하는데 내카드 신한카드인데 정보 아무리 바로 넣어도 없는카드래..... 3사중에 젤 쓰레기인듯... 2년뒤부터 엘지랑 빠이빠이 할거다
하유니하, 1,2021-06-10,0,유심 인식안된다고 하네요 며칠전까지 사용했는데 원상복귀해주세요
Gloria M, 5,2021-04-23,3,이용하기 쉽고 편하게 되어 있어 좋았읍니다
김두례, 5,2021-05-11,1,너무 데이터가 모자랐어요데이터 충분히 쓸 수 있다니 감사한 일입니다
인생은독고다이, 1,2021-04-16,0,구동 속도가 2G인줄 알았습니다 구동 속도 좀 올려 주세요
해우, 1,2021-05-19,0,미성년자 요금제 변경은 별다른 안내도 없고 UI 그냥 최악
kanghyun Kim, 1,2021-05-27,0,어플 되긴하나요?? 접속 안되고 이상한 창만 뜨는데?? 저도 담엔 무조간 u플러스에서 벗어나겠습니다...
행복참어렵다, 1,2021-06-03,0,유심인식안돼서 인증 안됀다고 나오네 후기보니 많이 나오는데 능력이 없는건지 고칠생각을 안하네
Hj K, 1,2021-04-22,0,출첵 이벤을 하면 첫날에 알림하지 왜 꼭 하루 지나서 하냐 일부러 그러는 거냐 19일부터면 19일날 알림 보내야지 꼭 둘째날 보내노
신동민, 1,2021-06-06,0,통신사 할인받아야하는데 어플이 열리지가않노
정Steven, 4,2021-05-19,0,여기 어풀에 들어와서 데이터쿠폰 2배사용하기 최고에 끌팁입니다
강수종, 1,2021-05-21,0,톡같은 요금제똑같은핸드폰3~4 개월사이2~3만원요금차이나는 요금제 의심스럽습니다 월요일 판매점 찾아 가겠습니다
prajna, 1,2021-04-28,1,와 대단하네요. 앱이 몇일째 열리지 않네요
종민, 1,2021-06-01,1,서버관리를 진짜 자먼서 하나 심심하면 지연ㅋㅋ
평범한고등학생, 1,2021-05-06,0,갑자기 로그인이 안되네요
박유혁, 3,2021-05-17,0,사용자가 편리하도록 합니다.
호우당근, 1,2021-06-12,0,동의과학대학교 식품영양학과가 폐지되는것이아니었다 동의과학대학교 식품영양학과가 폐지되는것이아니다 동의과학대학교 식품영양학과가 폐지 되어야 한다 라고 하는 것이 아니다
김성한, 1,2021-05-21,0,앱 실행하는데만 최소 10분 이상 걸림
김은혜, 3,2021-03-23,26,앱이 안들어가져요. 다른앱들도 않 들어가져서 문의 하려고 들어가서 문의사항을 올리긴했는데요. 고객센터 위에 앱이 한번더 않들어가져요.
크짜르, 1,2021-01-26,114,"고객센터 이상해요. 앱도 이상하고 고객센터 직원은 공무원같아요.벽보고 떠드는 느낌입니다. 데이타도 전화도 안되는데 개선할 방법이 없다고만 하고. 삼성 AS기사가 집에 와서 전화, LTE 신호 테스트 해줬는데.. 전화는 테스트 도중 끊어질 정도로 안되고, 5G,LTE통신불가..와이파이 없으면 카톡도 안될지경. 삼성기사가 와서 체크했다니까 갑자기 고객센터 직원이 기사를 보내줬으나...아무것도 바뀐거 없어요. 심지어 현장기사와 고객센터 직원간 의사소통도 안되고 있었고. 앱에다 문의를 남겨도 똑같은 문장 복사해다 붙이고. 그래서 앞으로 엘지제품은 뭐든 다시는 안사기로 했어요."
파스타, 1,2021-05-16,1,아니 왜 와파랑 같이 데이터가 켜지냐고 이따구니깐 망하는거지
조유빈, 1,2021-04-10,10,4월 1일부터 계속 어플이 안켜져요 서비스이용이 원활하지않습니다 잠시후에 재접속해주세요 라고 뜨면서 종료되는데 여러방법을 써봐도 안됩니다 어떻게 해야하죠?
Shijie Xin, 1,2021-03-21,23,별 하나도 아깝슴니다.쓰잘데없는 행사니뭐니하면서 돈받아 먹을생각하지말고 인터넷속도나 어떻게 해보던가 하소 .열 받아서 핸드폰 몇천번도 뿌셔버리고 싶어유.지금 이미 액정이 깨졋슴 ..통신사 빨리 바꿔야겟는데 약정때메 ...혈압터질것같음
Heying Piao, 1,2021-03-25,34,앱이 잘 들어가 지지도 않고 자주 끊김니다. 잔여 데이터 확인하려고 해도 로딩이 오래 걸려요. 몇년째 쓰는데 왜 개선되지를 않죠?
검정망토차차, 1,2021-03-14,93,데이타속토 너무너무느립니다. 집에 kt인터넷와이파이쓰는데 와이파이없으면 폰업뎃도 못할정도고..와~ 집밖에나오면 속터져죽을지경. 5G는 아예 되지도않고..3G를 8하던지 핸드폰에서 5G이름박은거 빼고 요금제도 LTE요금제로 쓰게하세요. 양심이 있으면 이런 인터넷속도로 5G라고 둔갑해서 이런비싼요금 받으면안되죠. 안그래요? 통신망을 늘리던지 개선하던지..회원들 다 빠져나가면 그때서야 고치던지 알아서하세요. 약정 끝나기만기다립니다. 통신사 바로갈아탈거니깐 ㅂㄷㅂㄷ
주사모술사모, 1,2021-05-05,1,Tv에서 유투브 세팅이 이상한데 답답하네 잘좀합시다
